FullExample.ino
An extensive example of many interesting TinyGPSPlus features
Testing TinyGPSPlus library v. 1.0.2
by Mikal Hart

Sats HDOP  Latitude   Longitude   Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
           (deg)      (deg)       Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
----------------------------------------------------------------------------------------------------------------------------------------
**** ***** ********** *********** **** ********** ******** **** ****** ****** ***** ***   ******** ****** ***   28    0         1        
5    3.4   ********** *********** **** 03/12/2023 14:08:42 902  ****** ****** ***** ***   ******** ****** ***   376   0         1        
6    3.4   ********** *********** **** 03/12/2023 14:08:43 919  ****** ****** ***** ***   ******** ****** ***   728   0         1        
6    3.4   ********** *********** **** 03/12/2023 14:08:44 934  ****** ****** ***** ***   ******** ****** ***   1080  0         1        
6    2.4   41.078506  28.789558   791  03/12/2023 14:08:45 913  150.70 269.40 59.41 W     2484     307.63 NW    1547  2         1        
6    2.4   41.078506  28.789518   805  03/12/2023 14:08:46 928  152.00 269.76 51.19 W     2484     307.63 NW    2031  4         1        
6    2.4   41.078510  28.789457   824  03/12/2023 14:08:47 947  153.50 269.56 48.49 W     2484     307.63 NW    2513  6         1        
6    2.4   41.078506  28.789363   841  03/12/2023 14:08:48 964  160.50 269.71 45.49 W     2484     307.63 NW    2995  8         1        
6    2.4   41.078502  28.789287   860  03/12/2023 14:08:49 981  167.50 269.27 47.04 W     2484     307.63 NW    3476  10        1        
6    3.4   41.078495  28.789012   4    03/12/2023 14:08:51 5    181.80 268.91 44.52 W     2484     307.63 NW    3959  13        1        
6    3.4   41.078498  28.789052   20   03/12/2023 14:08:52 21   196.00 270.87 36.43 W     2484     307.63 NW    4440  15        1        
6    2.4   41.078498  28.789148   40   03/12/2023 14:08:53 41   191.40 272.39 21.96 W     2484     307.63 NW    4925  17        1        
6    2.4   41.078498  28.789255   57   03/12/2023 14:08:54 58   183.40 272.14 16.82 W     2484     307.63 NW    5408  19        1        
6    2.4   41.078502  28.789304   72   03/12/2023 14:08:55 73   174.90 276.87 16.22 W     2484     307.63 NW    5886  21        1        
6    2.4   41.078502  28.789352   90   03/12/2023 14:08:56 91   172.30 275.12 15.39 W     2484     307.63 NW    6368  23        1        
6    2.4   41.078506  28.789384   106  03/12/2023 14:08:57 107  168.80 274.64 14.46 W     2484     307.63 NW    6848  25        1        
6    2.4   41.078510  28.789415   1    03/12/2023 14:08:58 124  164.40 274.47 12.78 W     2484     307.63 NW    7331  28        1        
6    2.4   41.078510  28.789455   19   03/12/2023 14:08:59 141  161.40 275.59 10.06 W     2484     307.63 NW    7814  30        1        
6    2.4   41.078510  28.789480   37   03/12/2023 14:09:00 158  159.60 274.84 9.96  W     2484     307.63 NW    8294  32        1        
6    2.4   41.078510  28.789516   54   03/12/2023 14:09:01 175  156.40 275.47 7.80  W     2484     307.63 NW    8774  34        1        
6    2.4   41.078510  28.789543   71   03/12/2023 14:09:02 191  154.40 275.01 7.28  W     2484     307.63 NW    9253  36        1        
6    2.3   41.078514  28.789577   88   03/12/2023 14:09:03 209  151.40 276.19 6.07  W     2484     307.63 NW    9732  38        1        
6    2.3   41.078514  28.789609   104  03/12/2023 14:09:04 225  148.40 276.44 5.07  W     2484     307.63 NW    10211 40        1        
6    2.3   41.078514  28.789640   120  03/12/2023 14:09:05 241  145.60 276.59 4.19  W     2484     307.63 NW    10689 42        1        
6    2.3   41.078514  28.789672   137  03/12/2023 14:09:06 257  142.70 276.55 3.61  W     2484     307.63 NW    11168 44        1        
6    2.3   41.078514  28.789690   153  03/12/2023 14:09:07 274  140.90 276.27 3.43  W     2484     307.63 NW    11648 46        1        
6    2.3   41.078514  28.789718   168  03/12/2023 14:09:08 288  138.20 277.22 2.46  W     2484     307.63 NW    12125 48        1        
6    2.3   41.078514  28.789739   184  03/12/2023 14:09:09 306  135.80 276.49 2.32  W     2484     307.63 NW    12604 50        1        
6    2.3   41.078514  28.789754   203  03/12/2023 14:09:10 323  134.40 275.44 2.35  W     2484     307.63 NW    13085 52        1        
6    2.3   41.078514  28.789775   232  03/12/2023 14:09:11 346  132.20 275.44 1.78  W     2484     307.63 NW    13564 54        1        
6    2.3   41.078514  28.789793   245  03/12/2023 14:09:12 360  130.20 275.44 1.48  W     2484     307.63 NW    14028 56        1        
6    2.3   41.078517  28.789800   261  03/12/2023 14:09:13 376  129.60 275.44 1.74  W     2484     307.63 NW    14495 58        1        
6    2.3   41.078517  28.789810   282  03/12/2023 14:09:14 396  128.90 275.44 1.76  W     2484     307.63 NW    14961 60        1        
6    2.3   41.078517  28.789823   299  03/12/2023 14:09:15 413  127.60 275.44 1.57  W     2484     307.63 NW    15412 62        1        
6    2.3   41.078517  28.789833   314  03/12/2023 14:09:16 429  126.30 275.44 1.76  W     2484     307.63 NW    15863 64        1        
6    2.3   41.078517  28.789836   317  03/12/2023 14:09:17 438  126.00 273.68 2.07  W     2484     307.63 NW    16326 66        1        
6    2.3   41.078517  28.789852   346  03/12/2023 14:09:18 461  124.30 273.68 1.48  W     2484     307.63 NW    16777 68        1        
6    2.3   41.078517  28.789859   365  03/12/2023 14:09:19 479  123.30 273.68 1.59  W     2484     307.63 NW    17228 70        1        
6    2.3   41.078517  28.789865   381  03/12/2023 14:09:20 495  122.60 273.68 1.80  W     2484     307.63 NW    17679 72        1        
